task_id,model,ground_truth_rating,ground_truth_category,predicted_rating,predicted_category,vulnerable_lines,rating_correct,category_correct,latency_sec,success,error,raw_response
reentrancy_reentrancy_dao.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,reentrancy,VULNERABLE,reentrancy,[18],True,True,10.787,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""reentrancy"",
  ""vulnerable_lines"": [18]
}"
reentrancy_reentrancy_insecure.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,reentrancy,VULNERABLE,reentrancy,[17],True,True,10.5988,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""reentrancy"",
  ""vulnerable_lines"": [17]
}"
reentrancy_reentrancy_simple.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,reentrancy,VULNERABLE,reentrancy,[24],True,True,11.0966,True,,"{
    ""rating"": ""VULNERABLE"",
    ""vulnerability_category"": ""reentrancy"",
    ""vulnerable_lines"": [24]
}"
reentrancy_simple_dao.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,reentrancy,VULNERABLE,reentrancy,[19],True,True,10.3542,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""reentrancy"",
  ""vulnerable_lines"": [19]
}"
reentrancy_spank_chain_payment.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,reentrancy,,,[],False,False,72.7403,False,"3 validation errors for LLMPrediction
rating
  Field required [type=missing, input_value={'response': 'The provide...ng Network technology.'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing
vulnerability_category
  Field required [type=missing, input_value={'response': 'The provide...ng Network technology.'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing
vulnerable_lines
  Field required [type=missing, input_value={'response': 'The provide...ng Network technology.'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing",
short_addresses_short_address_example.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,short_addresses,VULNERABLE,short_addresses,[18],True,True,11.2392,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""short_addresses"",
  ""vulnerable_lines"": [18]
}"
time_manipulation_ether_lotto.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,time_manipulation,VULNERABLE,time_manipulation,[43],True,True,20.7018,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""time_manipulation"",
  ""access_control"": ""none"",
  ""integer_overflow"": ""none"",
  ""unchecked_call"": ""none"",
  ""vulnerable_lines"": [43]
}"
time_manipulation_governmental_survey.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,time_manipulation,VULNERABLE,time_manipulation,[27],True,True,13.9822,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""time_manipulation"",
  ""vulnerable_lines"": [27]
}"
time_manipulation_lottopollo.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,time_manipulation,VULNERABLE,time_manipulation,"[13, 27]",True,True,12.8073,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""time_manipulation"",
  ""vulnerable_lines"": [13, 27]
}"
time_manipulation_roulette.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,time_manipulation,VULNERABLE,time_manipulation,"[18, 20]",True,True,16.7829,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""time_manipulation"",
  ""access_control"": ""none"",
  ""integer_overflow"": ""none"",
  ""unchecked_call"": ""none"",
  ""vulnerable_lines"": [18, 20]
}"
time_manipulation_timed_crowdsale.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,time_manipulation,VULNERABLE,time_manipulation,[13],True,True,14.8959,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""time_manipulation"",
  ""access_control"": ""none"",
  ""integer_overflow"": ""none"",
  ""unchecked_call"": ""none"",
  ""vulnerable_lines"": [13]
}"
unchecked_low_level_calls_0x07f7ecb66d788ab01dc93b9b71a88401de7d0f2e.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,"[183, 194]",True,False,39.6696,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [183, 194]
}"
unchecked_low_level_calls_0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,[12],True,False,9.2398,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [12]
}"
unchecked_low_level_calls_0x19cf8481ea15427a98ba3cdd6d9e14690011ab10.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,,,[],False,False,47.2509,False,"3 validation errors for LLMPrediction
rating
  Field required [type=missing, input_value={'response': ""I'm sorry, ...ist with that request.""}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing
vulnerability_category
  Field required [type=missing, input_value={'response': ""I'm sorry, ...ist with that request.""}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing
vulnerable_lines
  Field required [type=missing, input_value={'response': ""I'm sorry, ...ist with that request.""}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing",
unchecked_low_level_calls_0x2972d548497286d18e92b5fa1f8f9139e5653fd2.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,[14],True,False,10.9597,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [14]
}"
unchecked_low_level_calls_0x39cfd754c85023648bf003bea2dd498c5612abfa.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,"[44, 97]",True,False,17.9479,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [44, 97]
}"
unchecked_low_level_calls_0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,"[44, 97]",True,False,18.2419,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [44, 97]
}"
unchecked_low_level_calls_0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,[29],True,False,11.4609,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [29]
}"
unchecked_low_level_calls_0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,[45],True,False,15.0979,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [45]
}"
unchecked_low_level_calls_0x4051334adc52057aca763453820cb0e045076ef3.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,[16],True,False,10.7166,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [16]
}"
unchecked_low_level_calls_0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,[19],True,False,13.7267,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [19]
}"
unchecked_low_level_calls_0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,[17],True,False,10.6205,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [17]
}"
unchecked_low_level_calls_0x524960d55174d912768678d8c606b4d50b79d7b1.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,[21],True,False,12.5825,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [21]
}"
unchecked_low_level_calls_0x52d2e0f9b01101a59b38a3d05c80b7618aeed984.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,[27],True,False,11.5888,True,,"{
    ""rating"": ""VULNERABLE"",
    ""vulnerability_category"": ""unchecked_call"",
    ""vulnerable_lines"": [27]
}"
unchecked_low_level_calls_0x5aa88d2901c68fda244f1d0584400368d2c8e739.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,[29],True,False,11.4959,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [29]
}"
unchecked_low_level_calls_0x610495793564aed0f9c7fc48dc4c7c9151d34fd6.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,[33],True,False,11.2435,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [33]
}"
unchecked_low_level_calls_0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,[44],True,False,16.587,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [44]
}"
unchecked_low_level_calls_0x663e4229142a27f00bafb5d087e1e730648314c3.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,,,[],False,False,47.5775,False,"3 validation errors for LLMPrediction
rating
  Field required [type=missing, input_value={'response': ""I'm sorry, ...ist with that request.""}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing
vulnerability_category
  Field required [type=missing, input_value={'response': ""I'm sorry, ...ist with that request.""}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing
vulnerable_lines
  Field required [type=missing, input_value={'response': ""I'm sorry, ...ist with that request.""}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing",
unchecked_low_level_calls_0x70f9eddb3931491aab1aeafbc1e7f1ca2a012db4.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,[29],True,False,14.5988,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [29]
}"
unchecked_low_level_calls_0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,[45],True,False,15.2611,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [45]
}"
unchecked_low_level_calls_0x7a4349a749e59a5736efb7826ee3496a2dfd5489.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,[44],True,False,14.8679,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [44]
}"
unchecked_low_level_calls_0x7d09edb07d23acb532a82be3da5c17d9d85806b4.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,"[198, 210]",True,False,39.3472,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [198, 210]
}"
unchecked_low_level_calls_0x806a6bd219f162442d992bdc4ee6eba1f2c5a707.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,[44],True,False,14.5819,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [44]
}"
unchecked_low_level_calls_0x84d9ec85c9c568eb332b7226a8f826d897e0a4a8.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,[56],True,False,22.6743,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [56]
}"
unchecked_low_level_calls_0x89c1b3807d4c67df034fffb62f3509561218d30b.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,"[162, 175, 180, 192]",True,False,56.6357,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [162, 175, 180, 192]
}"
unchecked_low_level_calls_0x8fd1e427396ddb511533cf9abdbebd0a7e08da35.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,"[44, 97]",True,False,18.4241,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [44, 97]
}"
unchecked_low_level_calls_0x958a8f594101d2c0485a52319f29b2647f2ebc06.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,[55],True,False,27.6365,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [55]
}"
unchecked_low_level_calls_0x9d06cbafa865037a01d322d3f4222fa3e04e5488.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,"[54, 65]",True,False,23.4072,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [54, 65]
}"
unchecked_low_level_calls_0xa1fceeff3acc57d257b917e30c4df661401d6431.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,[31],True,False,12.2258,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [31]
}"
unchecked_low_level_calls_0xa46edd6a9a93feec36576ee5048146870ea2c3ae.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,[16],True,False,10.6324,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [16]
}"
unchecked_low_level_calls_0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,"[69, 71, 73, 75, 102]",True,False,31.7718,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [69, 71, 73, 75, 102]
}"
unchecked_low_level_calls_0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,[14],True,False,13.023,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [14]
}"
unchecked_low_level_calls_0xb37f18af15bafb869a065b61fc83cfc44ed9cc27.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,[33],True,False,11.1377,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [33]
}"
unchecked_low_level_calls_0xb620cee6b52f96f3c6b253e6eea556aa2d214a99.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,"[100, 133]",True,False,26.4428,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [100, 133]
}"
unchecked_low_level_calls_0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,[25],True,False,11.0005,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [25]
}"
unchecked_low_level_calls_0xbaa3de6504690efb064420d89e871c27065cdd52.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,[14],True,False,12.9576,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [14]
}"
unchecked_low_level_calls_0xbebbfe5b549f5db6e6c78ca97cac19d1fb03082c.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,[14],True,False,12.8036,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [14]
}"
unchecked_low_level_calls_0xd2018bfaa266a9ec0a1a84b061640faa009def76.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,[44],True,False,14.627,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [44]
}"
unchecked_low_level_calls_0xd5967fed03e85d1cce44cab284695b41bc675b5c.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,[16],True,False,10.5224,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [16]
}"
unchecked_low_level_calls_0xdb1c55f6926e7d847ddf8678905ad871a68199d2.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,[39],True,False,13.3145,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [39]
}"
unchecked_low_level_calls_0xe09b1ab8111c2729a76f16de96bc86a7af837928.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,[150],True,False,79.0119,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [150]
}"
unchecked_low_level_calls_0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,[44],True,False,15.0311,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [44]
}"
unchecked_low_level_calls_0xe82f0742a71a02b9e9ffc142fdcb6eb1ed06fb87.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,[39],True,False,15.9956,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [39]
}"
unchecked_low_level_calls_0xe894d54dca59cb53fe9cbc5155093605c7068220.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,[17],True,False,12.2951,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [17]
}"
unchecked_low_level_calls_0xec329ffc97d75fe03428ae155fc7793431487f63.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,[30],True,False,26.3114,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [30]
}"
unchecked_low_level_calls_0xf2570186500a46986f3139f65afedc2afe4f445d.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,[18],True,False,10.8119,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [18]
}"
unchecked_low_level_calls_0xf29ebe930a539a60279ace72c707cba851a57707.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,[16],True,False,9.9854,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [16]
}"
unchecked_low_level_calls_0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,[44],True,False,13.8177,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [44]
}"
unchecked_low_level_calls_etherpot_lotto.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,"[109, 141]",True,False,33.7384,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [109, 141]
}"
unchecked_low_level_calls_king_of_the_ether_throne.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,"[110, 118, 132, 174]",True,False,43.3172,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [110, 118, 132, 174]
}"
unchecked_low_level_calls_lotto.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,"[20, 27]",True,False,10.6329,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [20, 27]
}"
unchecked_low_level_calls_mishandled.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,[14],True,False,9.2079,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [14]
}"
unchecked_low_level_calls_unchecked_return_value.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,unchecked_low_level_calls,VULNERABLE,unchecked_call,[17],True,False,8.8241,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""unchecked_call"",
  ""vulnerable_lines"": [17]
}"
